"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "YAML", "comment", "blank", "total"
"c:\Users\ashis\autoform\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\ashis\autoform\app\api\auth\[...nextauth]\route.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ashis\autoform\app\api\cloudinary\upload\single\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\ashis\autoform\app\api\create-user\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\autoform\app\api\persona\[personaId]\route.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 117
"c:\Users\ashis\autoform\app\api\persona\route.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 85
"c:\Users\ashis\autoform\app\api\resume\route.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\ashis\autoform\app\api\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ashis\autoform\app\api\upload\single\route.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\ashis\autoform\app\dashboard\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 8, 82
"c:\Users\ashis\autoform\app\dashboard\billing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 455, 0, 0, 33, 25, 513
"c:\Users\ashis\autoform\app\dashboard\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 3, 24
"c:\Users\ashis\autoform\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 272, 0, 0, 8, 15, 295
"c:\Users\ashis\autoform\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 117, 0, 7, 18, 142
"c:\Users\ashis\autoform\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\ashis\autoform\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 0, 2, 9, 152
"c:\Users\ashis\autoform\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 749, 0, 0, 11, 44, 804
"c:\Users\ashis\autoform\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\ashis\autoform\app\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 10, 161
"c:\Users\ashis\autoform\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"c:\Users\ashis\autoform\app\test\test2\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 15, 8, 68
"c:\Users\ashis\autoform\auth.config.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 86
"c:\Users\ashis\autoform\auth.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ashis\autoform\components.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\ashis\autoform\components\EmptyState\Dashboard\EmptyState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\Users\ashis\autoform\components\Loader\loader.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 49, 0, 4, 6, 59
"c:\Users\ashis\autoform\components\Loader\loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 2, 15
"c:\Users\ashis\autoform\components\ModeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\Users\ashis\autoform\components\Persona\CreatePersona.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 350, 0, 0, 1, 16, 367
"c:\Users\ashis\autoform\components\Persona\DeletePersona.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\ashis\autoform\components\Persona\GetPersonas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\ashis\autoform\components\ProfileSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\ashis\autoform\components\StatsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\ashis\autoform\components\Upload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 10, 136
"c:\Users\ashis\autoform\components\dashboard\ProfileCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
"c:\Users\ashis\autoform\components\dashboard\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 197, 0, 0, 5, 11, 213
"c:\Users\ashis\autoform\components\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\ashis\autoform\components\sign-in.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\ashis\autoform\components\skeletons\personas\PersonaSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
"c:\Users\ashis\autoform\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ashis\autoform\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\ashis\autoform\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"c:\Users\ashis\autoform\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
