"filename", "language", "JSON with Comments", "TypeScript", "XML", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "YAML", "PostCSS", "comment", "blank", "total"
"c:\Users\ashis\autoform\README.md", "Markdown", 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 44, 236
"c:\Users\ashis\autoform\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ashis\autoform\app\api\cloudinary\upload\single\route.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\ashis\autoform\app\api\persona\[personaId]\route.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 11, 120
"c:\Users\ashis\autoform\app\api\persona\route.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 9, 85
"c:\Users\ashis\autoform\app\api\resume\route.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\ashis\autoform\app\api\upload\single\route.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 15, 65
"c:\Users\ashis\autoform\app\dashboard\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 8, 82
"c:\Users\ashis\autoform\app\dashboard\billing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 455, 0, 0, 33, 25, 513
"c:\Users\ashis\autoform\app\dashboard\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\ashis\autoform\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 0, 292, 34, 498
"c:\Users\ashis\autoform\app\dashboard\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\ashis\autoform\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 144, 11, 24, 179
"c:\Users\ashis\autoform\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\ashis\autoform\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 0, 1, 16, 186
"c:\Users\ashis\autoform\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 5, 72
"c:\Users\ashis\autoform\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\ashis\autoform\app\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 9, 185
"c:\Users\ashis\autoform\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 39
"c:\Users\ashis\autoform\app\test\test2\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 165, 0, 0, 44, 19, 228
